TIME,2014
Austria,48
Belgium,49.3
Bulgaria,54
Croatia,57.4
Cyprus,48.3
Czechia,56.8
Denmark,47.7
Estonia,53.9
Finland,54.7
France,47.2
Germany,52.1
Greece,56.7
Hungary,55.2
Ireland,55.7
Italy,44.9
Latvia,56.5
Lithuania,55.6
Luxembourg,48
Malta,61
Netherlands,49.4
Poland,54.7
Portugal,53.6
Romania,55.8
Slovakia,54.2
Slovenia,56.6
Spain,52.4
Sweden,49.9
